Date,Open,High,Low,Close,Volume,Daily_Return,MA_7,MA_30
2015-01-02,14.857999801635742,14.883333206176758,14.21733283996582,14.620667457580566,71466000,,,
2015-01-05,14.303333282470703,14.43333339691162,13.810667037963867,14.005999565124512,80527500,-0.04204102817052724,,
2015-01-06,14.003999710083008,14.279999732971191,13.61400032043457,14.085332870483398,93928500,0.005664237314159992,,
2015-01-07,14.223333358764648,14.3186674118042,13.985333442687988,14.063332557678224,44526000,-0.0015619306272326439,,
2015-01-08,14.187333106994627,14.25333309173584,14.000666618347168,14.041333198547363,51637500,-0.0015643062581812694,,
2015-01-09,13.928000450134276,13.998666763305664,13.663999557495115,13.77733325958252,70024500,-0.018801629106854012,,
2015-01-12,13.536666870117188,13.631333351135254,13.283332824707031,13.480667114257812,89254500,-0.021532914950603166,14.010666574750628,
2015-01-13,13.554667472839355,13.84066677093506,13.394000053405762,13.616666793823242,67159500,0.010088497728839352,13.86723790849958,
2015-01-14,12.388667106628418,13.013333320617676,12.333333015441896,12.845999717712402,173278500,-0.05659733676235856,13.701523644583565,
2015-01-15,12.965999603271484,13.050000190734863,12.666666984558104,12.791333198547363,78247500,-0.004255528597720826,13.516666548592704,
2015-01-16,12.713333129882812,12.965999603271484,12.643333435058594,12.871333122253418,54048000,0.006254228739435819,13.346380914960589,
2015-01-20,12.924667358398438,12.941332817077637,12.469332695007324,12.795332908630373,67548000,-0.005904610882275119,13.168380873543876,
2015-01-21,12.636667251586914,13.245332717895508,12.633999824523926,13.104666709899902,62295000,0.024175518017267583,13.072285652160645,
2015-01-22,13.133333206176758,13.54933261871338,13.013333320617676,13.441332817077637,61753500,0.02569055090301542,13.06666646684919,
2015-01-23,13.352666854858398,13.56666660308838,13.222000122070312,13.419333457946776,51579000,-0.0016366947705446222,13.03847599029541,
2015-01-26,13.45533275604248,13.907999992370604,13.403332710266112,13.770000457763672,48517500,0.026131476717216273,13.17047609601702,
2015-01-27,13.628000259399414,13.868666648864746,13.553333282470703,13.732000350952148,41715000,-0.0027596300325537504,13.304857117789131,
2015-01-28,13.740667343139648,13.758000373840332,13.227999687194824,13.291333198547363,47244000,-0.03209052877530916,13.364857128688268,
2015-01-29,13.404666900634766,13.732000350952148,13.100000381469728,13.68000030517578,53221500,0.02924214605280495,13.491238185337611,
2015-01-30,13.597332954406738,13.83133316040039,13.533332824707031,13.57333278656006,45105000,-0.007797333058198963,13.558190482003349,
2015-02-02,13.597999572753906,14.130000114440918,13.553333282470703,14.062666893005373,62238000,0.0360511389604945,13.646952492850167,
2015-02-03,14.214667320251465,14.691332817077637,14.084667205810549,14.557332992553713,72393000,0.0351758385028933,13.809523854936872,
